Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,69.3,158,Unhealthy,66.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,53.1,144,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,43.0,119,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,35.5,101,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,30.2,89,Moderate,25.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,25.1,78,Moderate,20.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,21.0,70,Moderate,17.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,18.5,64,Moderate,16.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,14.7,56,Moderate,11.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,12.8,52,Moderate,11.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,12.4,52,Moderate,12.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,11.7,49,Good,11.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,11.8,49,Good,12.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,11.8,49,Good,-15.0,UG/M3,1 Hr,Invalid
Beijing,PM2.5 - Principal,2018-01-01 03:00 PM,2018,01,01,15,19.9,67,Moderate,24.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 04:00 PM,2018,01,01,16,28.5,85,Moderate,35.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 05:00 PM,2018,01,01,17,28.5,85,Moderate,-15.0,UG/M3,1 Hr,Invalid
Beijing,PM2.5 - Principal,2018-01-01 06:00 PM,2018,01,01,18,53.9,146,Unhealthy for Sensitive Groups,65.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 07:00 PM,2018,01,01,19,67.3,157,Unhealthy,77.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 08:00 PM,2018,01,01,20,74.1,161,Unhealthy,80.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 09:00 PM,2018,01,01,21,74.0,161,Unhealthy,74.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 10:00 PM,2018,01,01,22,69.9,158,Unhealthy,66.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-01 11:00 PM,2018,01,01,23,61.4,154,Unhealthy,53.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 12:00 AM,2018,01,02,00,56.6,152,Unhealthy,52.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 01:00 AM,2018,01,02,01,49.3,135,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 02:00 AM,2018,01,02,02,44.6,123,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 03:00 AM,2018,01,02,03,46.8,129,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 04:00 AM,2018,01,02,04,48.9,134,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 05:00 AM,2018,01,02,05,48.9,134,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 06:00 AM,2018,01,02,06,53.9,146,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 07:00 AM,2018,01,02,07,55.9,151,Unhealthy,58.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 08:00 AM,2018,01,02,08,51.1,139,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 09:00 AM,2018,01,02,09,48.0,132,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 10:00 AM,2018,01,02,10,37.4,106,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 11:00 AM,2018,01,02,11,28.2,85,Moderate,19.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 12:00 PM,2018,01,02,12,20.1,68,Moderate,12.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 01:00 PM,2018,01,02,13,20.0,68,Moderate,20.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 02:00 PM,2018,01,02,14,20.0,68,Moderate,20.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 03:00 PM,2018,01,02,15,18.0,63,Moderate,16.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 04:00 PM,2018,01,02,16,15.9,59,Moderate,14.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 05:00 PM,2018,01,02,17,13.9,55,Moderate,12.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 06:00 PM,2018,01,02,18,13.4,54,Moderate,13.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 07:00 PM,2018,01,02,19,13.2,53,Moderate,13.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 08:00 PM,2018,01,02,20,11.6,48,Good,10.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 09:00 PM,2018,01,02,21,10.3,43,Good,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 10:00 PM,2018,01,02,22,8.1,34,Good,6.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-02 11:00 PM,2018,01,02,23,7.0,29,Good,6.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 12:00 AM,2018,01,03,00,6.5,27,Good,6.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 01:00 AM,2018,01,03,01,6.2,26,Good,6.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 02:00 AM,2018,01,03,02,7.6,32,Good,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 03:00 AM,2018,01,03,03,7.8,33,Good,8.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 04:00 AM,2018,01,03,04,6.4,27,Good,5.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 05:00 AM,2018,01,03,05,7.7,32,Good,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 06:00 AM,2018,01,03,06,8.3,35,Good,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 07:00 AM,2018,01,03,07,8.1,34,Good,8.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 08:00 AM,2018,01,03,08,9.0,38,Good,10.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 09:00 AM,2018,01,03,09,11.0,46,Good,13.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 10:00 AM,2018,01,03,10,10.5,44,Good,10.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 11:00 AM,2018,01,03,11,10.2,43,Good,10.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 12:00 PM,2018,01,03,12,10.6,44,Good,11.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 01:00 PM,2018,01,03,13,9.3,39,Good,8.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 02:00 PM,2018,01,03,14,9.6,40,Good,10.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 03:00 PM,2018,01,03,15,9.8,41,Good,10.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 04:00 PM,2018,01,03,16,11.6,48,Good,14.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 05:00 PM,2018,01,03,17,12.6,52,Moderate,14.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 06:00 PM,2018,01,03,18,13.8,55,Moderate,15.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 07:00 PM,2018,01,03,19,15.9,59,Moderate,18.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 08:00 PM,2018,01,03,20,16.4,60,Moderate,17.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 09:00 PM,2018,01,03,21,15.7,59,Moderate,15.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 10:00 PM,2018,01,03,22,16.3,60,Moderate,17.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-03 11:00 PM,2018,01,03,23,12.6,52,Moderate,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-04 12:00 AM,2018,01,04,00,11.8,49,Good,11.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-04 01:00 AM,2018,01,04,01,9.4,39,Good,7.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2018-01-04 02:00 AM,2018,01,04,02,11.2,47,Good,13.0,UG/M3,1 Hr,Valid
