Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,35.3,100,Moderate,32.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,30.5,90,Moderate,25.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,27.0,82,Moderate,23.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,26.0,80,Moderate,25.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,23.9,76,Moderate,22.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,24.4,77,Moderate,25.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,24.7,77,Moderate,25.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,24.3,77,Moderate,24.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,22.6,73,Moderate,21.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,21.8,71,Moderate,21.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,22.5,73,Moderate,23.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,22.7,73,Moderate,23.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,25.9,80,Moderate,32.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,32.5,94,Moderate,39.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,33.6,96,Moderate,35.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,31.9,93,Moderate,30.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,34.3,98,Moderate,37.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,35.5,101,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,36.6,104,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,40.9,114,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,43.4,120,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,45.7,126,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,48.8,134,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,52.5,143,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,56.4,151,Unhealthy,60.0,UG/M3,1 Hr,Valid
