Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,31.3,91,Moderate,37.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,32.6,94,Moderate,34.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,30.8,90,Moderate,29.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,29.4,87,Moderate,28.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,26.7,82,Moderate,24.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,25.8,80,Moderate,25.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,24.8,78,Moderate,23.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,24.9,78,Moderate,25.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,20.3,68,Moderate,16.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,17.1,62,Moderate,14.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,16.5,60,Moderate,16.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,21.7,71,Moderate,27.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,26.8,82,Moderate,32.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,31.4,92,Moderate,36.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,34.7,99,Moderate,38.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,33.3,96,Moderate,32.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,32.1,93,Moderate,31.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,34.0,97,Moderate,36.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,34.5,98,Moderate,35.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,33.7,96,Moderate,33.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,41.8,117,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,44.9,124,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,44.6,123,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,45.4,125,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,54.2,147,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,54.6,148,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,53.3,145,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,47.6,131,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,47.5,131,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,49.1,134,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 07:00 AM,2021,01,02,07,47.2,130,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 08:00 AM,2021,01,02,08,48.6,133,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 09:00 AM,2021,01,02,09,51.0,139,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 10:00 AM,2021,01,02,10,52.3,142,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 11:00 AM,2021,01,02,11,55.4,150,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 12:00 PM,2021,01,02,12,57.6,152,Unhealthy,62.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 01:00 PM,2021,01,02,13,60.0,153,Unhealthy,64.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 02:00 PM,2021,01,02,14,61.4,154,Unhealthy,64.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 03:00 PM,2021,01,02,15,61.9,154,Unhealthy,63.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 04:00 PM,2021,01,02,16,64.0,155,Unhealthy,68.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 05:00 PM,2021,01,02,17,65.0,156,Unhealthy,67.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2021-01-02 06:00 PM,2021,01,02,18,64.4,156,Unhealthy,63.0,UG/M3,1 Hr,Valid
