Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,497.0,498,Hazardous,505.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,491.0,494,Hazardous,485.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,478.1,485,Hazardous,466.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,467.6,478,Hazardous,435.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,454.4,470,Hazardous,405.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,442.4,462,Hazardous,402.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,434.6,457,Hazardous,407.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,435.0,457,Hazardous,435.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,443.2,462,Hazardous,472.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,447.5,465,Hazardous,465.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,452.5,468,Hazardous,473.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,452.5,468,Hazardous,456.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,454.7,470,Hazardous,474.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,468.4,479,Hazardous,510.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,516.6,511,Hazardous,596.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,537.6,525,Hazardous,580.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,544.0,529,Hazardous,556.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,536.7,524,Hazardous,522.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,523.5,515,Hazardous,495.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,517.9,512,Hazardous,500.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,510.0,506,Hazardous,484.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,495.7,497,Hazardous,452.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,473.3,482,Hazardous,427.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,464.9,477,Hazardous,444.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,454.2,469,Hazardous,428.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,457.3,472,Hazardous,466.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,456.0,471,Hazardous,452.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,452.8,469,Hazardous,442.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,434.9,457,Hazardous,390.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,386.2,425,Hazardous,317.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,253.3,304,Hazardous,139.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,173.1,223,Very Unhealthy,93.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,99.9,174,Unhealthy,27.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,58.4,152,Unhealthy,17.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,40.1,112,Unhealthy for Sensitive Groups,22.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,33.0,95,Moderate,26.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,112.9,181,Unhealthy,193.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,181.9,232,Very Unhealthy,251.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,177.9,228,Very Unhealthy,174.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,224.4,274,Very Unhealthy,271.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,237.7,287,Very Unhealthy,251.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,235.8,286,Very Unhealthy,234.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 07:00 PM,2017,01,02,19,207.4,257,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 08:00 PM,2017,01,02,20,188.7,239,Very Unhealthy,170.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 09:00 PM,2017,01,02,21,163.8,214,Very Unhealthy,139.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 10:00 PM,2017,01,02,22,161.4,212,Very Unhealthy,159.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-02 11:00 PM,2017,01,02,23,185.7,236,Very Unhealthy,210.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 12:00 AM,2017,01,03,00,199.3,249,Very Unhealthy,214.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 01:00 AM,2017,01,03,01,241.4,291,Very Unhealthy,283.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 02:00 AM,2017,01,03,02,277.2,327,Hazardous,313.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 03:00 AM,2017,01,03,03,309.1,359,Hazardous,341.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 04:00 AM,2017,01,03,04,333.0,383,Hazardous,357.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 05:00 AM,2017,01,03,05,340.0,390,Hazardous,347.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 06:00 AM,2017,01,03,06,359.5,407,Hazardous,379.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 07:00 AM,2017,01,03,07,367.2,412,Hazardous,375.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 08:00 AM,2017,01,03,08,368.6,413,Hazardous,370.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 09:00 AM,2017,01,03,09,366.8,412,Hazardous,365.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 10:00 AM,2017,01,03,10,363.8,410,Hazardous,361.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 11:00 AM,2017,01,03,11,333.8,384,Hazardous,295.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 12:00 PM,2017,01,03,12,298.4,348,Hazardous,235.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 01:00 PM,2017,01,03,13,275.4,326,Hazardous,238.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 02:00 PM,2017,01,03,14,264.5,315,Hazardous,247.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 03:00 PM,2017,01,03,15,261.2,312,Hazardous,256.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 04:00 PM,2017,01,03,16,273.2,323,Hazardous,293.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 05:00 PM,2017,01,03,17,287.1,337,Hazardous,310.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 06:00 PM,2017,01,03,18,285.7,336,Hazardous,284.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 07:00 PM,2017,01,03,19,311.2,361,Hazardous,356.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 08:00 PM,2017,01,03,20,361.3,408,Hazardous,418.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 09:00 PM,2017,01,03,21,437.5,458,Hazardous,505.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 10:00 PM,2017,01,03,22,489.7,493,Hazardous,542.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-03 11:00 PM,2017,01,03,23,518.9,512,Hazardous,548.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 12:00 AM,2017,01,04,00,541.0,527,Hazardous,563.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 01:00 AM,2017,01,04,01,558.5,538,Hazardous,576.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 02:00 AM,2017,01,04,02,558.8,539,Hazardous,559.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 03:00 AM,2017,01,04,03,567.9,545,Hazardous,577.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 04:00 AM,2017,01,04,04,579.0,552,Hazardous,590.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 05:00 AM,2017,01,04,05,572.0,547,Hazardous,565.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 06:00 AM,2017,01,04,06,559.2,539,Hazardous,542.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 07:00 AM,2017,01,04,07,536.9,524,Hazardous,482.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 08:00 AM,2017,01,04,08,509.5,506,Hazardous,431.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 09:00 AM,2017,01,04,09,456.0,471,Hazardous,382.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 10:00 AM,2017,01,04,10,406.2,438,Hazardous,350.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 11:00 AM,2017,01,04,11,397.0,432,Hazardous,384.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 12:00 PM,2017,01,04,12,274.7,325,Hazardous,163.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 01:00 PM,2017,01,04,13,262.8,313,Hazardous,251.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2017-01-04 02:00 PM,2017,01,04,14,287.8,338,Hazardous,313.0,UG/M3,1 Hr,Valid
