Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2016-01-01 01:00 AM,2016,01,01,01,222.3,272,Very Unhealthy,231.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 02:00 AM,2016,01,01,02,230.6,280,Very Unhealthy,239.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 03:00 AM,2016,01,01,03,217.8,268,Very Unhealthy,205.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 04:00 AM,2016,01,01,04,192.4,243,Very Unhealthy,167.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 05:00 AM,2016,01,01,05,162.2,213,Very Unhealthy,132.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 06:00 AM,2016,01,01,06,165.6,216,Very Unhealthy,169.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 07:00 AM,2016,01,01,07,165.2,216,Very Unhealthy,162.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 08:00 AM,2016,01,01,08,144.1,197,Unhealthy,123.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 09:00 AM,2016,01,01,09,121.6,185,Unhealthy,100.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 10:00 AM,2016,01,01,10,111.3,180,Unhealthy,101.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 11:00 AM,2016,01,01,11,111.1,180,Unhealthy,111.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 12:00 PM,2016,01,01,12,113.0,181,Unhealthy,115.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 01:00 PM,2016,01,01,13,124.0,186,Unhealthy,135.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 02:00 PM,2016,01,01,14,144.5,197,Unhealthy,165.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 03:00 PM,2016,01,01,15,156.1,207,Very Unhealthy,176.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 04:00 PM,2016,01,01,16,171.6,222,Very Unhealthy,187.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 05:00 PM,2016,01,01,17,190.3,240,Very Unhealthy,207.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 06:00 PM,2016,01,01,18,212.6,263,Very Unhealthy,235.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 07:00 PM,2016,01,01,19,240.3,290,Very Unhealthy,268.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 08:00 PM,2016,01,01,20,271.1,321,Hazardous,302.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 09:00 PM,2016,01,01,21,300.6,351,Hazardous,330.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 10:00 PM,2016,01,01,22,322.8,373,Hazardous,345.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-01 11:00 PM,2016,01,01,23,348.9,399,Hazardous,375.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-02 12:00 AM,2016,01,02,00,374.5,417,Hazardous,400.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-01-02 01:00 AM,2016,01,02,01,368.2,413,Hazardous,362.0,UG/M3,1 Hr,Valid
